"","X.3","X.2","X.1","X","srvy","common_name","species_code","filter_lat_lt","filter_lat_gt","filter_depth","model_fn","model_family","model_anisotropy","model_spatiotemporal","file_name","effort","term","estimate","std.error","conf.low","conf.high"
"1","1","1","1","1","AI","walleye pollock","21740",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","walleye_pollock","08_3","factor(year)1991","20.6856737521902","2493.25244730382","-4865.99932732964","4907.37067483402"
"2","2","2","2","2","AI","walleye pollock","21740",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","walleye_pollock","08_3","factor(year)1994","21.1477911414862","3481.15334516286","-6801.78739003884","6844.08297232182"
"3","3","3","3","3","AI","walleye pollock","21740",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","walleye_pollock","08_3","factor(year)1997","20.0598323172971","1774.19330878345","-3457.29515451021","3497.41481914481"
"4","4","4","4","4","AI","walleye pollock","21740",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","walleye_pollock","08_3","factor(year)2000","21.5342924193623","4454.85786686396","-8709.82668287892","8752.89526771765"
"5","5","5","5","5","AI","walleye pollock","21740",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","walleye_pollock","08_3","factor(year)2002","19.6338993473679","1268.32407080449","-2466.23560015466","2505.5033988494"
"6","6","6","6","6","AI","walleye pollock","21740",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","walleye_pollock","08_3","factor(year)2004","21.1847456223383","9559.32507962923","-18714.7481269614","18757.1176182061"
"7","7","7","7","7","AI","walleye pollock","21740",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","walleye_pollock","08_3","factor(year)2006","19.4887494954851","1285.73096783036","-2500.49764125985","2539.47514025082"
"8","8","8","8","8","AI","walleye pollock","21740",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","walleye_pollock","08_3","factor(year)2010","20.4061798926415","2114.16743139709","-4123.2858429332","4164.09820271848"
"9","9","9","9","9","AI","walleye pollock","21740",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","walleye_pollock","08_3","factor(year)2012","21.0787105797434","2600.52250040518","-5075.85173120046","5118.00915235994"
"10","10","10","10","10","AI","walleye pollock","21740",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","walleye_pollock","08_3","factor(year)2014","22.4115920620364","5078.60755002972","-9931.47629760942","9976.29948173349"
"11","11","11","11","11","AI","walleye pollock","21740",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","walleye_pollock","08_3","factor(year)2016","20.0611863195805","1712.05532030473","-3335.50558101788","3375.62795365704"
"12","12","12","12","12","AI","walleye pollock","21740",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","walleye_pollock","08_3","factor(year)2018","20.6884027054747","2169.40748040076","-4231.2721266718","4272.64893208275"
"13","13","13","13","13","AI","walleye pollock","21740",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","walleye_pollock","08_3","factor(year)2022","18.530322068806","798.242272854421","-1545.99578366325","1583.05642780087"
"14","14","14","14","14","AI","walleye pollock","21740",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","walleye_pollock","08_3","factor(year)2024","20.4803808683137","2270.57165616023","-4429.7582895232","4470.71905125983"
